E000		｛㇯𦮙艹｝（癸小篆）
E001		𠘹（小篆）
E002		𫡃
E003		𠂔
E004		𠂻
E005		𡿨（又𠃋）
E006		𢎘
E007		｛⿻丑⿰⺀⺀｝	𥸨
E008		𠂋
E009		𠂢
E00A		𠥟
E00B		𠔼
E00C		从（小篆）
E00D		𠆽
E00E		𠆾
E00F		𠇗
E010		𠇙
E011		𠈒
E012		𠈦
E013		𠉁
E014		𠉯
E015		𠊼
E016		𠋯
E017		𠌃
E018		𠌄
E019		𠍂
E01A		𠌶
E01B		𠍼
E01C		｛⿰亻⿱夭韭｝	𠎷
E01D		𠐋
E01E		𩰢
E01F		𠑼
E020		𠘯
E021		𠘴
E022		𠙆
E023		𤬦
E024		𠙶
E025		𧙪
E026		𠝃
E027		𠜱
E028		𠜴
E029		𠜾
E02A		𠜲
E02B		𠝆
E02C		𠞮
E02D		𠞯
E02E		𠟍
E02F		𠠎
E030		𠢳
E031		𠬜
E032		𠇀
E033		𣦻
E034		𠭇
E035		𡉀
E036		𡉞
E037		𡋹
E038		𡌦
E039		𡌭
E03A		𡍸
E03B		𡎺
E03C		𡑒
E03D		𡏻
E03E		𡐤
E03F		𡒊
E040		𡔐
E041		𡔎
E042		𤕠
E043		𢆗
E044		𢍰
E045		𡔢
E046		𡙋
E047		𡚇
E048		𡙞
E049		𡯷
E04A		𡭴
E04B		𠯗
E04C		𠴨
E04D		𠵄
E04E		𠸺
E04F		𠻠
E050		𠻲
E051		𠼪
E052		𠾎
E053		𠿩
E054		𡁎
E055		𠷠
E056		𡄳
E057		𡄑
E058		𡇼
E059		𢂛
E05A		𢃐
E05B		𢄈
E05C		𢄼
E05D		𢅰
E05E		𡴴
E05F		｛⿱山千｝	𡵃
E060		𡵡
E061		𡷛
E062		𡥐
E063		𡶵
E064		𡶶
E065		𡸯
E066		𡷗
E067		｛⿱山每｝	𡴕
E068		𡹔
E069		𡸕
E06A		𡺩
E06B		𡹘
E06C		𡺁
E06D		𡹮
E06E		𡺭
E06F		𡺽
E070		𡻝
E071		𡼱
E072		𡼢
E073		𧡁
E074		𡼖
E075		𡼡
E076		𡽋
E077		𡼣
E078		𡾁
E079		𡾊
E07A		𢓡
E07B		𢕑
E07C		𢕿
E07D		𡦄
E07E		𨐔
E07F		𢈪
E080		𢈻
E081		𢉉
E082		𢊕
E083		𢊖
E084		𡧍
E085		𡨢
E086		𡨧
E087		𡩊
E088		𡩡
E089		𡪝
E08A		𡪶
E08B		𡰥
E08C		𡲕
E08D		𢏌
E08E		𢏛
E08F		𢏡
E090		𢏮
E091		𡚽
E092		𡚾
E093		𡜹
E094		𡢀
E095		𡡏
E096		𡣫
E097		𡤫
E098		𧴲
E099		𤳯
E09A		𤤔
E09B		𤥐
E09C		𤥻
E09D		𤥭
E09E		𤥠
E09F		𤥟
E0A0		𤥙
E0A1		𤧗
E0A2		𤧣
E0A3		𤧚
E0A4		𤧳
E0A5		𤦵
E0A6		𤦹
E0A7		𤦶
E0A8		𤧴
E0A9		𤨠
E0AA		𤩗
E0AB		𤪑
E0AC		𤩪
E0AD		𤪌
E0AE		𤪒
E0AF		𤫉
E0B0		𤫏
E0B1		𤫙
E0B2		𤫠
E0B3		𣎵
E0B4		𣎽
E0B5		𡉣
E0B6		𣏣
E0B7		𣏹
E0B8		𣏞
E0B9		𣑼
E0BA		𣑇
E0BB		𣐺
E0BC		𣒊
E0BD		𣗪
E0BE		𣘀
E0BF		𣘗
E0C0		𣘻
E0C1		𣗆
E0C2		𣙙
E0C3		𣘖
E0C4		𣚴
E0C5		𣚃
E0C6		𣚕
E0C7		𣜊
E0C8		𣝒
E0C9		𣝕
E0CA		𣝡
E0CB		𣝟
E0CC		𣝠
E0CD		𣟓
E0CE		𣟵
E0CF		𤜟
E0D0		𤜣
E0D1		𤝙
E0D2		𤝎
E0D3		𤝣
E0D4		𤝻
E0D5		𤞑
E0D6		𦍕
E0D7		𤝱
E0D8		𤞞
E0D9		𤞰
E0DA		𤟑
E0DB		𤟤
E0DC		𤟰
E0DD		𤡆
E0DE		𤡊
E0DF		𤡷
E0E0		𤡮
E0E1		𤡬
E0E2		𤣄
E0E3		𤢹
E0E4		𤣎
E0E5		𤣕
E0E6		𣨙
E0E7		𣩈
E0E8		𣨶
E0E9		𣩊
E0EA		𣩮
E0EB		𢧴
E0EC		𢧳
E0ED		𢨘
E0EE		𤬯
E0EF		𤭤
E0F0		𤮧
E0F1		𢼓
E0F2		𢽌
E0F3		𢽍
E0F4		𢾻
E0F5		𢿈
E0F6		𢿯
E0F7		𢿢
E0F8		𢿰
E0F9		𢿾
E0FA		𣀳
E0FB		𣀹
E0FC		𣅏
E0FD		𣆉
E0FE		𣆖
E0FF		𣆪
E100		𣈭
E101		𣉠
E102		𣍉
E103		𣊈
E104		𣉟
E105		𣍇
E106		𣍏
E107		𣳺
E108		𣳻
E109		𣵡
E10A		𣷡
E10B		𣵼
E10C		𣶬
E10D		𣶲
E10E		𣶂
E10F		𣶪
E110		𣶱
E111		𣶴
E112		𣶮
E113		𣹑
E114		𣹐
E115		𣸦
E116		𣹟
E117		𣻢
E118		𣺂
E119		𣻕
E11A		𣿪
E11B		𣾴
E11C		𣾷
E11D		𣻴
E11E		𣿞
E11F		𤃆
E120		𤃩
E121		𤄶
E122		𤄜
E123		𤄷
E124		𤙶
E125		𤚷
E126		𤛨
E127		𤛎
E128		𤜎
E129		𢬵
E12A		𢫑
E12B		𢭞
E12C		𢰇
E12D		𢯱
E12E		𢳙
E12F		𢴵
E130		𢶡
E131		𢷒
E132		𢷏
E133		𢷟
E134		𢷾
E135		𢷠
E136		𢸁
E137		𣬩
E138		𣯔
E139		𣯽
E13A		𣰯
E13B		𣶒
E13C		𣃕
E13D		𪛊
E13E		𠬪
E13F		𤔐
E140		𤔣
E141		𣍩
E142		𦙮
E143		𦙫
E144		𣎟
E145		𣍻
E146		𦞮
E147		𣎆
E148		𦞤
E149		𧱔
E14A		𦟘
E14B		𦠆
E14C		𦡱
E14D		𣎰
E14E		𣎲
E14F		𣢆
E150		𣢗
E151		𣣲
E152		𣤶
E153		𣪚
E154		𧎅
E155		𣫏
E156		𣄎
E157		𣄝
E158		𤇸
E159		𤈴
E15A		𤊨
E15B		𤊹
E15C		𡦐
E15D		𤉴
E15E		𤍟
E15F		𤐣
E160		𤐃
E161		𤐂
E162		𤐁
E163		𤐨
E164		𤐴
E165		𤒅
E166		𥣻
E167		𤒩
E168		𤓍
E169		𤓖
E16A		𣂁
E16B		𣂈
E16C		𢩘
E16D		𢗒
E16E		𢘉
E16F		𢙨
E170		𢙯
E171		𢚕
E172		𠅤
E173		𢜩
E174		𢜰
E175		𢝖
E176		𢠆
E177		𨗳
E178		𢢪
E179		𢢨
E17A		｛⿱勸心｝
E17B		𢥵
E17C		𥘬
E17D		𥘴
E17E		𥜗
E17F		𥐚
E180		｛⿰石巳｝	𥐗
E181		𥐭
E182		𥑕
E183		𥑻
E184		𥒚
E185		𥒁
E186		𥒸
E187		𥔲
E188		𥔌
E189		𥕯
E18A		𥖪
E18B		𥄦
E18C		𥄟
E18D		𣐥
E18E		𥄎
E18F		𡕥
E190		𥅅
E191		𥅆
E192		𥄱
E193		𥆙
E194		𥇜
E195		𥇍
E196		𥈄
E197		𥊌
E198		𥉻
E199		𥋆
E19A		𥋝
E19B		𥌳
E19C		𤱥
E19D		𡖦
E19E		𤲀
E19F		𤲬
E1A0		𦉩
E1A1		𥁃
E1A2		𤯝
E1A3		𥏃
E1A4		𥝧
E1A5		𥝰
E1A6		𥞇
E1A7		𥞺
E1A8		𥡂
E1A9		𥡃
E1AA		𥡥
E1AB		𥡧
E1AC		𥡪
E1AD		𥡮
E1AE		𥢌
E1AF		𥢗
E1B0		𥣛
E1B1		𥢾
E1B2		｛⿱白小｝	𤽄
E1B3		𤽮
E1B4		𤾁
E1B5		𤾚
E1B6		𤿁
E1B7		𤫶
E1B8		𤬛
E1B9		𤵄
E1BA		𤻤
E1BB		𤷍
E1BC		𤸚
E1BD		𤸛
E1BE		𤸷
E1BF		𤹀
E1C0		𤺺
E1C1		𤻟
E1C2		𤻠
E1C3		𤻲
E1C4		𤻴
E1C5		𤼐
E1C6		𤼏
E1C7		𥩷
E1C8		𥫃
E1C9		𥨙
E1CA		𥎂
E1CB		𦓲
E1CC		𦓶
E1CD		𦓹
E1CE		𦔧
E1CF		𦔩
E1D0		𦔯
E1D1		𦗔
E1D2		𦣞
E1D3		𧟡
E1D4		｛⿱覀了｝
E1D5		𧇠
E1D6		𧈂
E1D7		𧈭
E1D8		𧉧
E1D9		𧊎
E1DA		𧌴
E1DB		𧋘
E1DC		𧋤
E1DD		𧍙
E1DE		𧍯
E1DF		𧍪
E1E0		𧎆
E1E1		𧍢
E1E2		𧎼
E1E3		𧎾
E1E4		𧑒
E1E5		𧓈
E1E6		𧑓
E1E7		𧑷
E1E8		𧑅
E1E9		𧓄
E1EA		𧒯
E1EB		𧒬
E1EC		𧕏
E1ED		𧏐
E1EE		𧕅
E1EF		𧕄
E1F0		𧕋
E1F1		𧕛
E1F2		𦋎
E1F3		𦌒
E1F4		𩼄
E1F5		𦉃
E1F6		𦉊
E1F7		𦧈
E1F8		𦧴
E1F9		𥫱
E1FA		𥭳
E1FB		𥭕
E1FC		𥮏
E1FD		𥯀
E1FE		𥮘
E1FF		𥮖
E200		𥰭
E201		𥯨
E202		𥰀
E203		𥰮
E204		𥱉
E205		𥱧
E206		𥰚
E207		𥲀
E208		𥱼
E209		𥳊
E20A		𥳇
E20B		𥳼
E20C		𥳞
E20D		𥳽
E20E		𥳎
E20F		𥳔
E210		𥳍
E211		𥴮
E212		𥵁
E213		𥴼
E214		𥵀
E215		𥵣
E216		𥵫
E217		𥵷
E218		𥶆
E219		𥵜
E21A		𥷊
E21B		𥶌
E21C		𥶠
E21D		𥶻
E21E		｛⿱𥫗衛｝	𥶽
E21F		𥸌
E220		𡘑
E221		｛⿻夫臼｝	𠅲
E222		𦦒
E223		𦦷
E224		𦤙
E225		𦨰
E226		𦨣
E227		𦨴
E228		𦩁
E229		𦩘
E22A		𦩐
E22B		𦩞
E22C		𦩷
E22D		𦪇
E22E		𦪞
E22F		𦫟
E230		𧘈
E231		𧛮
E232		𧛝
E233		𧜴
E234		𧞠
E235		𧟌
E236		𦎪
E237		𦎣
E238		𦏆
E239		𠂭
E23A		𥺥
E23B		𥻨
E23C		𥻦
E23D		𥼆
E23E		𥽫
E23F		𦘥
E240		𦫳
E241		𠀎
E242		𦭎
E243		𦭏
E244		𦭍
E245		𦮔
E246		𦭵
E247		𢀼
E248		𦯉
E249		𦯼
E24A		𦰡
E24B		𦱌
E24C		𦰫
E24D		𦰹
E24E		𦰳
E24F		𦱪
E250		𦱏
E251		𦴡
E252		𦳓
E253		𦱽
E254		𦳊
E255		𦳪
E256		𦶝
E257		𦶓
E258		𦵩
E259		𦵧
E25A		𦶞
E25B		𦸁
E25C		𦺹
E25D		𦸾
E25E		𦸈
E25F		𦸼
E260		𦸿
E261		𦸽
E262		𦽯
E263		𧏤
E264		𨗨
E265		𦻎
E266		𦼓
E267		𦺖
E268		𧄥
E269		𦼫
E26A		𦽲
E26B		𦽊
E26C		𦾱
E26D		𧁐
E26E		𧂬
E26F		𧁾
E270		𧂇
E271		𧂌
E272		𧄔
E273		𧅙
E274		𦐛
E275		𦑡
E276		𦒃
E277		𦀚
E278		𦁤
E279		𦂄
E27A		𦄝
E27B		𦄍
E27C		𦇧
E27D		𧽎
E27E		𧽼
E27F		𨊧
E280		𨋁
E281		𨋖
E282		𨋹
E283		𨌈
E284		𨍋
E285		𨌹
E286		𨍉
E287		𨍈
E288		𨎩
E289		𨏳
E28A		𧰤
E28B		𨠑
E28C		𨠦
E28D		𨣿
E28E		𨢬
E28F		𨢤
E290		𨢧
E291		𡭃
E292		𧰯
E293		豥
E294		𧱓
E295		𧱲
E296		𧲂
E297		𧷪
E298		𧸜
E299		𧸘
E29A		𧢇
E29B		𧿇
E29C		𨁏
E29D		𨁂
E29E		𨃰
E29F		𨆪
E2A0		𪘏
E2A1		𨇨
E2A2		𨇯
E2A3		𨈂
E2A4		𨙵
E2A5		𨙸
E2A6		𨚕
E2A7		𨚩
E2A8		𨚷
E2A9		𨛜
E2AA		𨜴
E2AB		𨜏
E2AC		𨝹
E2AD		𨝙
E2AE		𨝱
E2AF		𨝸
E2B0		𨞇
E2B1		𨝺
E2B2		𨑰
E2B3		𨑭
E2B4		𨓏
E2B5		𨔷
E2B6		𨖄
E2B7		𨕠
E2B8		𨘆
E2B9		𨘊
E2BA		𨘤
E2BB		𨙔
E2BC		𧮳
E2BD		𧲼
E2BE		𧳶
E2BF		𧳽
E2C0		𧣝
E2C1		𧤏
E2C2		𧤾
E2C3		𧦈
E2C4		𧦞
E2C5		𧦧
E2C6		𧧋
E2C7		𧧷
E2C8		𧨀
E2C9		𧨺
E2CA		𧪈
E2CB		𧪼
E2CC		𧫳
E2CD		𧫝
E2CE		𧭈
E2CF		𧭗
E2D0		𩃄
E2D1		𩃢
E2D2		𩅉
E2D3		𩅰
E2D4		𩆂
E2D5		𩅿
E2D6		𩅼
E2D7		𩆓
E2D8		𩇯
E2D9		𨾉
E2DA		𨾚
E2DB		𢽝
E2DC		𨿷
E2DD		𠂤
E2DE		𨹁
E2DF		𨹍
E2E0		𨺅
E2E1		𨻳
E2E2		𨻼
E2E3		𨼩
E2E4		𨽚
E2E5		𨧱
E2E6		𨧷
E2E7		𨨿
E2E8		𨫜
E2E9		𨫛
E2EA		𨭉
E2EB		𨭐
E2EC		𨬟
E2ED		𨭠
E2EE		𨭚
E2EF		𨰝
E2F0		𨰡
E2F1		𨵦
E2F2		𩊮
E2F3		𩋃
E2F4		𩋡
E2F5		𩌴
E2F6		𩌦
E2F7		𩔪
E2F8		𩖎
E2F9		𩈣
E2FA		𩐏
E2FB		𩨥
E2FC		𩨳
E2FD		𩪇
E2FE		𩪋
E2FF		𥣉
E300		𩡙
E301		𩲲
E302		𩳗
E303		𩚚
E304		𩛩
E305		𩜌
E306		𩝭
E307		𩜶
E308		𩝯
E309		𩞄
E30A		𩞱
E30B		𩖣
E30C		𩘅
E30D		𩐩
E30E		𦣻
E30F		𩘚
E310		𩏶
E311		𩙵
E312		𩫶
E313		𩫹
E314		𩬏
E315		𩮤
E316		𩮰
E317		𩡴
E318		𥡗
E319		𩢱
E31A		𩣡
E31B		𩣥
E31C		𩣯
E31D		𩣵
E31E		𩥄
E31F		𩥫
E320		𩦎
E321		𩦺
E322		𩦠
E323		𪌜
E324		𪍣
E325		𪍴
E326		𪍿
E327		𩿪
E328		𩿧
E329		𪁐
E32A		𪂉
E32B		𪁺
E32C		𪃑
E32D		𪄡
E32E		𪄀
E32F		𪅀
E330		𪄻
E331		𪆂
E332		𪅍
E333		𪄶
E334		𪆁
E335		𪅰
E336		𪆻
E337		𪇱
E338		𪈂
E339		𪈟
E33A		𩵎
E33B		𩶏
E33C		𩵱
E33D		𩶐
E33E		𩶁
E33F		𩶙
E340		𤀸
E341		𩶱
E342		𩷀
E343		𩶯
E344		𩷚
E345		𩷩
E346		𪀚
E347		𩸪
E348		𩺅
E349		𩻮
E34A		𩺀
E34B		𩹾
E34C		𩺵
E34D		𩹴
E34E		𩹺
E34F		𩺰
E350		𩼈
E351		𩻣
E352		𧒄
E353		𩻭
E354		𩼓
E355		𩽢
E356		𩽳
E357		𩽷
E358		𡡉
E359		𥂓
E35A		𦗕
E35B		𪊝
E35C		𪊣
E35D		𪊮
E35E		𪊨
E35F		𪋩
E360		𪋯
E361		｛⿰鼎千｝	𪔆
E362		𠬔
E363		𩕢
E364		𪑩
E365		𪒟
E366		𪔴
E367		𪓟
E368		𪓬
E369		𪓹
E36A		𪓺
E36B		𪕋
E36C		𪕖
E36D		𪕞
E36E		𧢟
E36F		𪙊
E370		𪙠
E371		𪚝
E372		𠌅
E373		𡋕
E374		𡐬
E375		｛⿳口〢一｝
E376		𢅸
E377		𡺸
E378		𡽳
E379		𢏊
E37A		𡥠
E37B		𤥣
E37C		𨌥
E37D		𤪘
E37E		𣑆
E37F		𣝵
E380		｛⿹𢦏⿱八夕｝	𢧇
E381		𢾗
E382		𣌮
E383		𣳇
E384		𣵿
E385		𣼧
E386		𤂈
